name	read_id	strand	align_score	neg_log_likelihood	subset_likelihood	repeat_likelihood	repeat_start	repeat_end	align_start	align_end	counts	freq	cluster_assignments	outlier	peak_calling_method
CGG_mouse3	506aac8c-1b3a-45b9-8b7b-9180e2d5e329	reverse	120	-1330.402	-85.67199999999991	-25.298	3573	3635	3429	3782	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	c02af782-0ee5-448c-9688-2d37e6582600	forward	120	-1331.048	-95.77999999999996	-55.15700000000004	2832	2901	2701	3043	23.0	2		True	kde_throw_outliers
CGG_mouse3	265c6c3b-5ffb-4594-a22a-50a08d49dd84	reverse	120	-1362.56	-118.36200000000008	-31.531999999999925	3554	3617	3406	3761	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	ad92ab72-043f-4f17-bee5-507617b5f4f0	reverse	120	-1348.518	-91.84199999999998	-25.38900000000001	3576	3638	3428	3786	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	f66587a4-eb15-451b-a325-42985942c879	reverse	116	-1332.876	-109.47199999999998	-23.644000000000005	3600	3653	3450	3804	18.0	1		True	kde_throw_outliers
CGG_mouse3	8ccaeb18-1253-4ee0-bcae-d334ef6656ba	forward	114	-1336.823	-100.942	-24.49000000000001	2761	2820	2612	2965	20.0	20		True	kde_throw_outliers
CGG_mouse3	2960bc73-c854-43c7-89ee-823bc13347d8	reverse	120	-1298.116	-53.38599999999997	-26.04600000000005	3570	3632	3422	3781	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	2c287b22-df1e-483b-a134-525d1b3ac5ce	reverse	120	-1306.581	-66.54099999999994	-36.356	3571	3635	3420	3785	22.0	19		True	kde_throw_outliers
CGG_mouse3	4409d10d-c59a-415c-8696-dbf19ad1b923	reverse	120	-1307.067	-73.26499999999999	-25.38800000000004	3610	3672	3458	3824	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	24ee392d-a8d4-470e-968f-6866ccdb9cbb	reverse	120	-1314.618	-80.81700000000001	-25.38900000000001	3592	3654	3442	3801	21.0	124	3.0	False	kde_throw_outliers
